,timestamp,stored,actor,verb,object,result
1394,2023-03-10 11:45:09.638000+00:00,2023-03-10T11:45:09.638Z,Teacher,Logged In,Salesianos,
1393,2023-03-10 11:52:00.020000+00:00,2023-03-10T11:52:00.020Z,PC006,Logged In,Salesianos,
1392,2023-03-10 11:52:04.063000+00:00,2023-03-10T11:52:04.063Z,PC008,Logged In,Salesianos,
1391,2023-03-10 11:52:05.177000+00:00,2023-03-10T11:52:05.177Z,Tablet1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1390,2023-03-10 11:52:05.679000+00:00,2023-03-10T11:52:05.679Z,PC004,Logged In,Salesianos,
1389,2023-03-10 11:52:06.699000+00:00,2023-03-10T11:52:06.699Z,PC009,Logged In,Salesianos,
1388,2023-03-10 11:52:06.979000+00:00,2023-03-10T11:52:06.979Z,PC007,Logged In,Salesianos,
1387,2023-03-10 11:52:07.358000+00:00,2023-03-10T11:52:07.358Z,PC003,Logged In,Salesianos,
1386,2023-03-10 11:52:07.471000+00:00,2023-03-10T11:52:07.471Z,Iphone 1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1385,2023-03-10 11:52:11.956000+00:00,2023-03-10T11:52:11.956Z,PC005,Logged In,Salesianos,
1384,2023-03-10 11:52:12.974000+00:00,2023-03-10T11:52:12.974Z,iPad2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1383,2023-03-10 11:52:13.126000+00:00,2023-03-10T11:52:13.126Z,Tablet 2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1382,2023-03-10 11:52:15.325000+00:00,2023-03-10T11:52:15.325Z,Android1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1381,2023-03-10 11:52:15.961000+00:00,2023-03-10T11:52:15.961Z,Android2,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1380,2023-03-10 11:52:18.277000+00:00,2023-03-10T11:52:18.277Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
1379,2023-03-10 11:52:18.847000+00:00,2023-03-10T11:52:18.847Z,Iphone 1,Swiped,Left,"{""score"":{""raw"":0}}"
1378,2023-03-10 11:52:21.075000+00:00,2023-03-10T11:52:21.075Z,iPad1,Logged In,Salesianos,"{""score"":{""raw"":0}}"
1377,2023-03-10 11:52:23.100000+00:00,2023-03-10T11:52:23.100Z,PC002,Logged In,Salesianos,
1376,2023-03-10 11:52:29.001000+00:00,2023-03-10T11:52:29.001Z,Iphone 1,Placed,Earth,"{""score"":{""raw"":0}}"
